source_file,start_time,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,parser,parse_error
459525469161684993.fit,2024-03-30 16:33:07,running,,4.11,2694,144,158,24,fitparse,
459539452233023490.fit,2024-03-31 17:56:02+00:00,running,,8.26,7221,151,175,252,fitdecode,
459850146945990656.fit,2024-04-13 17:27:46,running,,3.03,1938,158,184,6,fitparse,
459865915113111552.fit,2024-04-14 16:00:43,running,,13.23,7129,173,190,77,fitparse,
460325495421042688.fit,2024-05-04 17:30:16,running,,3.01,1935,150,168,17,fitparse,
460348782465286144.fit,2024-05-05 17:08:38+00:00,running,,3.01,1904,148,172,9,fitdecode,
460486513208098816.fit,2024-05-11 15:51:24,running,,3.01,1883,139,158,7,fitparse,
460572650924703744.fit,2024-05-15 08:42:50,running,,3.01,1869,138,154,7,fitparse,
460631230520524802.fit,2024-05-17 21:39:22+00:00,running,,3.07,2356,142,163,38,fitdecode,
460700261644533762.fit,2024-05-20 21:08:14+00:00,running,,3.09,2410,140,159,37,fitdecode,
460725636854480896.fit,2024-05-21 21:34:34+00:00,running,,3.08,2396,138,154,30,fitdecode,
460773765184258052.fit,2024-05-24 00:53:55+00:00,running,,3.21,2506,147,176,14,fitdecode,
460818561418428424.fit,2024-05-25 23:22:53+00:00,running,,3.34,3405,153,176,205,fitdecode,
461327950445314048.fit,2024-06-16 22:42:07+00:00,running,,3.45,2723,147,170,30,fitdecode,
461350115169304577.fit,2024-06-17 20:38:24+00:00,running,,5.20,3771,150,177,122,fitdecode,
461374399451267074.fit,2024-06-18 21:30:55+00:00,running,,8.46,6345,144,170,137,fitdecode,
461566432539344898.fit,2024-06-27 03:57:33+00:00,running,,3.09,2014,157,174,16,fitdecode,
461641021894197254.fit,2024-06-29 19:02:29+00:00,running,,4.06,2848,152,180,22,fitdecode,
462274390252355588.fit,2024-07-27 17:07:56+00:00,hiking,,1.87,5754,146,180,327,fitdecode,
462555944677572614.fit,2024-08-08 21:04:40+00:00,running,,3.44,2398,153,170,42,fitdecode,
462579346083708930.fit,2024-08-09 21:06:08+00:00,running,,4.23,2772,157,172,66,fitdecode,
462623484380479489.fit,2024-08-11 18:17:03+00:00,running,,5.45,4001,154,174,68,fitdecode,
462652776057438210.fit,2024-08-12 23:24:21+00:00,running,,3.83,2712,161,190,50,fitdecode,
462679247283060738.fit,2024-08-13 21:35:28+00:00,running,,5.48,3593,155,172,61,fitdecode,
462742973591879685.fit,2024-08-16 21:07:45+00:00,running,,3.86,2458,149,168,57,fitdecode,
462757388584255488.fit,2024-08-17 12:31:32+00:00,running,,7.93,6070,147,165,52,fitdecode,
462817736901296128.fit,2024-08-19 23:28:25+00:00,running,,3.09,2219,141,168,12,fitdecode,
462842184660451329.fit,2024-08-20 21:40:33+00:00,running,,5.53,3452,150,168,60,fitdecode,
462916277669756931.fit,2024-08-23 19:18:03+00:00,running,,5.52,3535,152,174,57,fitdecode,
462920154683047942.fit,2024-08-24 12:37:39+00:00,running,,5.56,3696,147,171,67,fitdecode,
462951521905049602.fit,2024-08-25 21:20:44+00:00,running,,5.57,3671,152,170,59,fitdecode,
462978044668182532.fit,2024-08-26 23:19:05+00:00,running,,4.49,3594,139,168,31,fitdecode,
462998919553515524.fit,2024-08-27 21:25:17+00:00,running,,5.63,3583,146,161,64,fitdecode,
463044024224219146.fit,2024-08-29 21:09:32+00:00,running,,6.01,4114,150,180,75,fitdecode,
463067818076700673.fit,2024-08-30 21:17:48+00:00,running,,5.73,3656,148,171,69,fitdecode,
463096659853737986.fit,2024-08-31 12:46:19+00:00,running,,4.46,2924,149,186,52,fitdecode,
463139206873513992.fit,2024-09-02 23:31:33+00:00,running,,3.19,2174,138,163,29,fitdecode,
463179640500944896.fit,2024-09-04 17:03:40+00:00,running,,4.57,3686,131,165,27,fitdecode,
463298385080778753.fit,2024-09-05 18:14:30+00:00,running,,3.01,2454,131,162,38,fitdecode,
463301609519087617.fit,2024-09-09 23:25:13+00:00,running,,3.45,2419,141,176,33,fitdecode,
463321828077633538.fit,2024-09-10 21:38:09+00:00,running,,4.10,2669,148,172,47,fitdecode,
463345471344115716.fit,2024-09-11 22:17:57+00:00,running,,4.91,3217,150,185,54,fitdecode,
463369227068276739.fit,2024-09-12 22:21:54,running,,1.01,738,138,147,,fitparse,
463369227068276743.fit,2024-09-12 23:03:35+00:00,running,,2.91,1340,181,194,18,fitdecode,
463430260701036550.fit,2024-09-15 13:09:17+00:00,running,trail,7.38,6165,154,178,284,fitdecode,
463463158271475720.fit,2024-09-16 23:29:49+00:00,running,,3.52,3341,127,156,30,fitdecode,
463486784894959618.fit,2024-09-17 21:26:32+00:00,running,,5.61,3835,142,163,63,fitdecode,
463509814509600785.fit,2024-09-18 21:22:08+00:00,running,,5.00,3345,139,151,73,fitdecode,
463554044082814979.fit,2024-09-20 21:30:32+00:00,running,,5.15,3505,144,185,40,fitdecode,
463569152427196424.fit,2024-09-21 13:14:53+00:00,running,,8.04,4822,149,177,95,fitdecode,
463598616171282433.fit,2024-09-22 20:19:08+00:00,running,,2.59,1734,144,165,44,fitdecode,
463627883957485568.fit,2024-09-23 23:11:34+00:00,running,,3.23,2247,127,153,42,fitdecode,
463647718653329419.fit,2024-09-24 21:25:39+00:00,running,,8.03,4763,146,176,96,fitdecode,
463671244076646405.fit,2024-09-25 22:43:51+00:00,running,,3.25,2720,126,149,10,fitdecode,
463693496033771521.fit,2024-09-26 21:13:04+00:00,running,,8.04,4907,151,176,97,fitdecode,
463707072953876484.fit,2024-09-27 11:19:08+00:00,running,,9.71,5960,151,179,100,fitdecode,
463800058458963971.fit,2024-09-30 23:18:16+00:00,running,,3.69,2507,137,158,26,fitdecode,
463809014011035651.fit,2024-10-01 21:20:49+00:00,running,,8.26,5009,146,175,125,fitdecode,
463833317888786432.fit,2024-10-02 21:25:44+00:00,running,,9.00,5771,149,193,77,fitdecode,
463894759535050752.fit,2024-10-05 14:53:05+00:00,running,,3.44,2196,150,171,72,fitdecode,
463916107401560070.fit,2024-10-06 12:20:40+00:00,running,,1.68,1571,148,168,3,fitdecode,
463916107669995520.fit,2024-10-06 12:57:25+00:00,running,,3.09,1676,179,192,71,fitdecode,
463950728059191298.fit,2024-10-07 22:49:47,running,,0.60,350,141,172,2,fitparse,
463950728059191313.fit,2024-10-07 23:14:19+00:00,running,,3.21,2234,140,161,36,fitdecode,
463950728327626760.fit,2024-10-08 00:02:24+00:00,running,,0.54,347,137,154,5,fitdecode,
463973014376054790.fit,2024-10-08 21:34:48+00:00,running,,8.37,5066,150,177,96,fitdecode,
463995138834726912.fit,2024-10-09 22:16:24+00:00,running,,5.56,3306,148,171,64,fitdecode,
464018859939102725.fit,2024-10-10 21:09:51+00:00,running,,10.01,6251,143,162,109,fitdecode,
464044673221033992.fit,2024-10-11 21:22:13+00:00,running,,5.50,3358,143,157,60,fitdecode,
464125348544544775.fit,2024-10-14 23:12:10+00:00,running,,3.52,2488,137,164,27,fitdecode,
464134013917888513.fit,2024-10-15 21:49:35+00:00,running,,5.77,3656,154,187,59,fitdecode,
464204606000365574.fit,2024-10-18 21:11:41+00:00,running,,8.47,5037,149,177,100,fitdecode,
464220168537538564.fit,2024-10-19 13:14:29+00:00,running,,11.07,6700,155,176,75,fitdecode,
464242234477281283.fit,2024-10-20 12:42:27+00:00,running,,4.25,2539,160,194,119,fitdecode,
464276294633291780.fit,2024-10-21 22:45:46+00:00,running,,0.75,553,121,139,,fitdecode,
464276294633291782.fit,2024-10-21 23:18:52+00:00,running,,3.48,2352,134,153,9,fitdecode,
464276294633291784.fit,2024-10-22 00:09:17+00:00,running,,0.70,534,131,144,3,fitdecode,
464296054435643395.fit,2024-10-22 21:10:16+00:00,running,,8.50,4992,151,181,108,fitdecode,
464367435718361096.fit,2024-10-25 21:30:05+00:00,running,,3.85,2264,149,167,55,fitdecode,
464367435986796545.fit,2024-10-25 23:00:24+00:00,running,,3.53,2484,137,154,37,fitdecode,
464387596034801674.fit,2024-10-26 19:02:30+00:00,running,,11.01,6881,149,168,102,fitdecode,
464402107923988482.fit,2024-10-27 11:33:03+00:00,running,,5.50,3317,145,162,68,fitdecode,
464437802583490561.fit,2024-10-28 22:52:14+00:00,running,,0.61,390,129,146,,fitdecode,
464437802860314626.fit,2024-10-28 23:11:47+00:00,running,,4.51,3231,131,154,20,fitdecode,
464437803120361472.fit,2024-10-29 00:14:28+00:00,running,,0.60,374,141,155,2,fitdecode,
464457361067638787.fit,2024-10-29 21:07:22+00:00,running,,3.18,2117,134,158,46,fitdecode,
464508150934962179.fit,2024-10-31 21:05:23+00:00,running,,8.52,5310,150,183,103,fitdecode,
464528077964214273.fit,2024-11-01 21:02:53+00:00,running,,8.67,5385,149,173,105,fitdecode,
464543639981293579.fit,2024-11-02 12:42:55+00:00,running,,13.11,8207,147,170,138,fitdecode,
464634251980079120.fit,2024-11-06 11:35:54+00:00,running,,6.05,3905,145,164,61,fitdecode,
464657498222133251.fit,2024-11-07 11:27:01+00:00,running,,6.79,4435,151,183,57,fitdecode,
464680887802429456.fit,2024-11-08 11:32:50+00:00,running,,8.14,4929,146,167,110,fitdecode,
464707510968811528.fit,2024-11-09 13:23:45+00:00,running,,7.18,4482,144,167,98,fitdecode,
464869411096920074.fit,2024-11-16 14:35:44+00:00,running,trail,6.52,4183,164,189,250,fitdecode,
464935821223428099.fit,2024-11-19 11:22:22+00:00,running,,5.50,3346,147,175,61,fitdecode,
465183324084666371.fit,2024-11-29 18:19:34+00:00,running,,4.34,2664,142,160,61,fitdecode,
465207699366248452.fit,2024-11-30 13:25:31+00:00,running,,4.30,2730,148,172,65,fitdecode,
465502028372672514.fit,2024-12-13 18:47:34,running,indoor_running,3.04,2066,148,172,,fitparse,
465528432491528192.fit,2024-12-14 13:43:56,running,indoor_running,3.01,2103,144,161,,fitparse,
465541663941492741.fit,2024-12-15 14:39:11+00:00,running,trail,5.96,3541,172,191,163,fitdecode,
465990907590639628.fit,2025-01-03 20:29:55+00:00,running,,4.13,2835,148,172,65,fitdecode,
466060352918945813.fit,2025-01-06 22:05:50,running,indoor_running,3.00,2056,147,172,,fitparse,
466083797532704769.fit,2025-01-07 21:59:43,running,indoor_running,3.08,2303,147,174,,fitparse,
466130978285322243.fit,2025-01-09 22:18:04+00:00,running,,3.81,2460,150,172,69,fitdecode,
466153774900084739.fit,2025-01-10 21:24:48,running,indoor_running,3.00,2507,142,168,,fitparse,
466191782944735244.fit,2025-01-12 13:20:57+00:00,running,,5.75,3613,148,181,66,fitdecode,
466223865006161933.fit,2025-01-13 22:18:27,running,indoor_running,3.00,1921,148,172,,fitparse,
466268134309920772.fit,2025-01-15 18:07:11+00:00,running,,4.31,3056,150,175,70,fitdecode,
466314190854848524.fit,2025-01-17 16:48:59,running,indoor_running,3.00,1871,145,169,,fitparse,
466329641999695872.fit,2025-01-18 14:02:52+00:00,running,,4.77,3001,152,180,69,fitdecode,
466353772197609475.fit,2025-01-19 13:38:49+00:00,running,,5.51,3667,154,186,72,fitdecode,
466353772197609476.fit,2025-01-19 14:41:47,running,,0.28,192,120,151,,fitparse,
466652278871326729.fit,2025-02-01 12:29:24+00:00,running,,2.75,1834,150,176,39,fitdecode,
467240304454434822.fit,2025-02-26 17:28:26+00:00,running,,2.25,1484,151,175,21,fitdecode,
467286855189037062.fit,2025-02-28 18:08:50+00:00,running,,4.50,3248,151,168,70,fitdecode,
467818858021945346.fit,2025-03-23 14:18:20+00:00,running,trail,5.80,4140,154,187,151,fitdecode,
468280072273428491.fit,2025-04-12 13:37:43+00:00,running,trail,4.02,3728,142,183,159,fitdecode,
468324918180741124.fit,2025-04-14 12:24:03+00:00,running,,4.10,2860,153,177,60,fitdecode,
468387823345500162.fit,2025-04-16 21:01:39+00:00,running,,4.01,2802,146,171,62,fitdecode,
468471004782428168.fit,2025-04-20 18:57:01+00:00,running,,6.01,3934,152,171,72,fitdecode,
468491134214111244.fit,2025-04-21 16:37:22+00:00,running,,4.30,2757,141,160,60,fitdecode,
468596906642145294.fit,2025-04-25 21:05:59+00:00,running,,4.28,2929,145,166,53,fitdecode,
468603081200795668.fit,2025-04-26 12:44:52+00:00,running,,4.51,3021,144,172,61,fitdecode,
468635228762570753.fit,2025-04-27 18:08:50+00:00,running,,6.90,4418,150,180,92,fitdecode,
468702728730738715.fit,2025-04-28 21:32:54+00:00,running,,4.00,2592,151,166,59,fitdecode,
468702728730738717.fit,2025-04-29 21:10:24+00:00,running,,4.00,2713,150,178,58,fitdecode,
